hidden_nodes,learning_rate,bias,epoch,learn_correct,learn_wrong,test_correct,test_wrong,Average
150,0.1,0.05,3,0.97845,0.02155,0.9721,0.0279,0.975275
200,0.1,0.05,3,0.9783,0.0217,0.9682,0.0318,0.97325
150,0.05,0.05,3,0.976166667,0.023833333,0.97,0.03,0.973083333
200,0.1,None,3,0.978816667,0.021183333,0.9673,0.0327,0.973058333
200,0.05,None,3,0.976666667,0.023333333,0.969,0.031,0.972833333
200,0.05,0.05,3,0.97645,0.02355,0.9684,0.0316,0.972425
150,0.05,None,3,0.974866667,0.025133333,0.9682,0.0318,0.971533333
150,0.1,0.05,2,0.974816667,0.025183333,0.9679,0.0321,0.971358333
200,0.1,None,2,0.975866667,0.024133333,0.9665,0.0335,0.971183333
150,0.1,None,3,0.975466667,0.024533333,0.9665,0.0335,0.970983333
100,0.05,0.05,3,0.9733,0.0267,0.9666,0.0334,0.96995
200,0.1,0.05,2,0.97385,0.02615,0.9638,0.0362,0.968825
150,0.05,0.05,2,0.970333333,0.029666667,0.9667,0.0333,0.968516667
200,0.05,None,2,0.97095,0.02905,0.9658,0.0342,0.968375
100,0.05,None,3,0.971266667,0.028733333,0.9646,0.0354,0.967933333
200,0.05,0.05,2,0.971133333,0.028866667,0.9642,0.0358,0.967666667
150,0.05,None,2,0.970166667,0.029833333,0.9649,0.0351,0.967533333
150,0.1,None,2,0.971533333,0.028466667,0.9635,0.0365,0.967516667
100,0.1,0.05,3,0.970216667,0.029783333,0.962,0.038,0.966108333
100,0.05,0.05,2,0.96785,0.03215,0.9639,0.0361,0.965875
200,0.1,0.05,1,0.968116667,0.031883333,0.9629,0.0371,0.965508333
200,0.1,None,1,0.968733333,0.031266667,0.9612,0.0388,0.964966667
150,0.1,0.05,1,0.9674,0.0326,0.9608,0.0392,0.9641
100,0.05,None,2,0.96595,0.03405,0.9621,0.0379,0.964025
100,0.1,0.05,2,0.9658,0.0342,0.9589,0.0411,0.96235
100,0.1,None,3,0.9645,0.0355,0.958,0.042,0.96125
150,0.1,None,1,0.965216667,0.034783333,0.957,0.043,0.961108333
200,0.05,0.05,1,0.96205,0.03795,0.9599,0.0401,0.960975
200,0.05,None,1,0.961433333,0.038566667,0.9596,0.0404,0.960516667
100,0.1,None,2,0.964633333,0.035366667,0.9553,0.0447,0.959966667
150,0.05,0.05,1,0.960566667,0.039433333,0.9589,0.0411,0.959733333
150,0.05,None,1,0.96045,0.03955,0.9587,0.0413,0.959575
50,0.05,None,3,0.962,0.038,0.9555,0.0445,0.95875
100,0.1,0.05,1,0.961816667,0.038183333,0.9555,0.0445,0.958658333
100,0.05,0.05,1,0.958083333,0.041916667,0.9564,0.0436,0.957241667
50,0.05,0.05,3,0.960216667,0.039783333,0.9531,0.0469,0.956658333
100,0.05,None,1,0.956766667,0.043233333,0.9565,0.0435,0.956633333
50,0.1,0.05,3,0.959316667,0.040683333,0.9523,0.0477,0.955808333
50,0.05,None,2,0.956916667,0.043083333,0.9526,0.0474,0.954758333
100,0.1,None,1,0.957716667,0.042283333,0.9513,0.0487,0.954508333
50,0.05,0.05,2,0.9561,0.0439,0.95,0.05,0.95305
50,0.1,None,3,0.956133333,0.043866667,0.9489,0.0511,0.952516667
200,0.1,0.05,0,0.952933333,0.047066667,0.9515,0.0485,0.952216667
50,0.1,None,2,0.955566667,0.044433333,0.9488,0.0512,0.952183333
50,0.1,0.05,2,0.95495,0.04505,0.9469,0.0531,0.950925
50,0.1,None,1,0.95255,0.04745,0.9471,0.0529,0.949825
200,0.1,None,0,0.950083333,0.049916667,0.9477,0.0523,0.948891667
150,0.1,None,0,0.9477,0.0523,0.9481,0.0519,0.9479
150,0.01,None,3,0.946733333,0.053266667,0.9483,0.0517,0.947516667
100,0.1,0.05,0,0.947833333,0.052166667,0.9471,0.0529,0.947466667
50,0.05,0.05,1,0.949016667,0.050983333,0.9457,0.0543,0.947358333
50,0.05,None,1,0.9485,0.0515,0.946,0.054,0.94725
200,0.01,None,3,0.94655,0.05345,0.9475,0.0525,0.947025
150,0.1,0.05,0,0.947433333,0.052566667,0.9464,0.0536,0.946916667
150,0.01,0.05,3,0.94655,0.05345,0.9468,0.0532,0.946675
100,0.01,None,3,0.945316667,0.054683333,0.9472,0.0528,0.946258333
200,0.01,0.05,3,0.945566667,0.054433333,0.9467,0.0533,0.946133333
100,0.01,0.05,3,0.944516667,0.055483333,0.9453,0.0547,0.944908333
